timestamp,device,kwh
2025-09-26T04:30:00Z,Refrigerator,0.4
2025-09-26T04:45:00Z,Refrigerator,0.3
2025-09-26T05:00:00Z,Refrigerator,0.4
2025-09-26T05:15:00Z,Refrigerator,0.5
2025-09-26T05:30:00Z,Refrigerator,0.6
2025-09-26T05:45:00Z,Refrigerator,0.5
2025-09-26T06:00:00Z,Refrigerator,0.4
2025-09-26T06:15:00Z,Refrigerator,0.5
2025-09-26T06:30:00Z,Refrigerator,0.6
2025-09-26T06:45:00Z,Refrigerator,0.7
2025-09-26T07:00:00Z,Refrigerator,0.6
2025-09-26T07:15:00Z,Refrigerator,0.5
2025-09-26T07:30:00Z,Refrigerator,0.4
2025-09-26T07:45:00Z,Refrigerator,0.5
2025-09-26T08:00:00Z,Refrigerator,0.4
2025-09-26T00:00:00Z,Lighting,0.8
2025-09-26T00:15:00Z,Lighting,0.6
2025-09-26T00:30:00Z,Lighting,0.4
2025-09-26T00:45:00Z,Lighting,0.2
2025-09-26T01:00:00Z,Lighting,0.1
2025-09-26T01:15:00Z,Lighting,0.1
2025-09-26T01:30:00Z,Lighting,0.1
2025-09-26T01:45:00Z,Lighting,0.1
2025-09-26T02:00:00Z,Lighting,0.1
2025-09-26T02:15:00Z,Lighting,0.1
2025-09-26T02:30:00Z,Lighting,0.1
2025-09-26T02:45:00Z,Lighting,0.1
2025-09-26T03:00:00Z,Lighting,0.1
2025-09-26T03:15:00Z,Lighting,0.1
2025-09-26T03:30:00Z,Lighting,0.1
2025-09-26T03:45:00Z,Lighting,0.1
2025-09-26T04:00:00Z,Lighting,0.1
2025-09-26T04:15:00Z,Lighting,0.1
2025-09-26T04:30:00Z,Lighting,0.2
2025-09-26T04:45:00Z,Lighting,0.3
2025-09-26T05:00:00Z,Lighting,0.4
2025-09-26T05:15:00Z,Lighting,0.6
2025-09-26T05:30:00Z,Lighting,0.8
2025-09-26T05:45:00Z,Lighting,1.1
2025-09-26T06:00:00Z,Lighting,1.4
2025-09-26T06:15:00Z,Lighting,1.7
2025-09-26T06:30:00Z,Lighting,2.1
2025-09-26T06:45:00Z,Lighting,2.4
2025-09-26T07:00:00Z,Lighting,2.6
2025-09-26T07:15:00Z,Lighting,2.8
2025-09-26T07:30:00Z,Lighting,2.9
2025-09-26T07:45:00Z,Lighting,3.1
2025-09-26T08:00:00Z,Lighting,3.2
2025-09-26T00:00:00Z,Electronics,1.5
2025-09-26T00:15:00Z,Electronics,1.2
2025-09-26T00:30:00Z,Electronics,0.8
2025-09-26T00:45:00Z,Electronics,0.5
2025-09-26T01:00:00Z,Electronics,0.3
2025-09-26T01:15:00Z,Electronics,0.2
2025-09-26T01:30:00Z,Electronics,0.2
2025-09-26T01:45:00Z,Electronics,0.2
2025-09-26T02:00:00Z,Electronics,0.2
2025-09-26T02:15:00Z,Electronics,0.2
2025-09-26T02:30:00Z,Electronics,0.2
2025-09-26T02:45:00Z,Electronics,0.2
2025-09-26T03:00:00Z,Electronics,0.2
2025-09-26T03:15:00Z,Electronics,0.2
2025-09-26T03:30:00Z,Electronics,0.2
2025-09-26T03:45:00Z,Electronics,0.2
2025-09-26T04:00:00Z,Electronics,0.2
2025-09-26T04:15:00Z,Electronics,0.3
2025-09-26T04:30:00Z,Electronics,0.4
2025-09-26T04:45:00Z,Electronics,0.6
2025-09-26T05:00:00Z,Electronics,0.8
2025-09-26T05:15:00Z,Electronics,1.1
2025-09-26T05:30:00Z,Electronics,1.4
2025-09-26T05:45:00Z,Electronics,1.8
2025-09-26T06:00:00Z,Electronics,2.2
2025-09-26T06:15:00Z,Electronics,2.6
2025-09-26T06:30:00Z,Electronics,3.1
2025-09-26T06:45:00Z,Electronics,3.5
2025-09-26T07:00:00Z,Electronics,3.8
2025-09-26T07:15:00Z,Electronics,4.1
2025-09-26T07:30:00Z,Electronics,4.3
2025-09-26T07:45:00Z,Electronics,4.5
2025-09-26T08:00:00Z,Electronics,4.7
2025-09-26T00:00:00Z,Washer_Dryer,0.0
2025-09-26T00:15:00Z,Washer_Dryer,0.0
2025-09-26T00:30:00Z,Washer_Dryer,0.0
2025-09-26T00:45:00Z,Washer_Dryer,0.0
2025-09-26T01:00:00Z,Washer_Dryer,0.0
2025-09-26T01:15:00Z,Washer_Dryer,0.0
2025-09-26T01:30:00Z,Washer_Dryer,0.0
2025-09-26T01:45:00Z,Washer_Dryer,0.0
2025-09-26T02:00:00Z,Washer_Dryer,0.0
2025-09-26T02:15:00Z,Washer_Dryer,0.0
2025-09-26T02:30:00Z,Washer_Dryer,0.0
2025-09-26T02:45:00Z,Washer_Dryer,0.0
2025-09-26T03:00:00Z,Washer_Dryer,0.0
2025-09-26T03:15:00Z,Washer_Dryer,0.0
2025-09-26T03:30:00Z,Washer_Dryer,0.0
2025-09-26T03:45:00Z,Washer_Dryer,0.0
2025-09-26T04:00:00Z,Washer_Dryer,0.0
2025-09-26T04:15:00Z,Washer_Dryer,0.0
2025-09-26T04:30:00Z,Washer_Dryer,0.0
2025-09-26T04:45:00Z,Washer_Dryer,0.0
2025-09-26T05:00:00Z,Washer_Dryer,0.0
2025-09-26T05:15:00Z,Washer_Dryer,0.0
2025-09-26T05:30:00Z,Washer_Dryer,0.0
2025-09-26T05:45:00Z,Washer_Dryer,0.0
2025-09-26T06:00:00Z,Washer_Dryer,0.0
2025-09-26T06:15:00Z,Washer_Dryer,0.0
2025-09-26T06:30:00Z,Washer_Dryer,2.8
2025-09-26T06:45:00Z,Washer_Dryer,3.2
2025-09-26T07:00:00Z,Washer_Dryer,3.5
2025-09-26T07:15:00Z,Washer_Dryer,3.8
2025-09-26T07:30:00Z,Washer_Dryer,4.1
2025-09-26T07:45:00Z,Washer_Dryer,4.3
2025-09-26T08:00:00Z,Washer_Dryer,4.5
